RecNum	DateTime	KAUST_LT_Tank1-S33.5A
586	07/28/19 06:45:00 PM	28.258
587	07/28/19 06:50:00 PM	28.258
588	07/28/19 06:55:00 PM	28.258
589	07/28/19 07:00:00 PM	28.258
590	07/28/19 07:05:00 PM	28.357
591	07/28/19 07:10:00 PM	28.357
592	07/28/19 07:15:00 PM	28.357
593	07/28/19 07:20:00 PM	28.357
594	07/28/19 07:25:00 PM	28.357
595	07/28/19 07:30:00 PM	28.357
596	07/28/19 07:35:00 PM	28.357
597	07/28/19 07:40:00 PM	28.258
598	07/28/19 07:45:00 PM	28.258
599	07/28/19 07:50:00 PM	28.357
600	07/28/19 07:55:00 PM	28.655
601	07/28/19 08:00:00 PM	28.853
602	07/28/19 08:05:00 PM	28.853
603	07/28/19 08:10:00 PM	28.853
604	07/28/19 08:15:00 PM	28.953
605	07/28/19 08:20:00 PM	29.053
606	07/28/19 08:25:00 PM	29.152
607	07/28/19 08:30:00 PM	29.053
608	07/28/19 08:35:00 PM	29.152
609	07/28/19 08:40:00 PM	29.152
610	07/28/19 08:45:00 PM	29.152
611	07/28/19 08:50:00 PM	29.053
612	07/28/19 08:55:00 PM	29.053
613	07/28/19 09:00:00 PM	29.152
614	07/28/19 09:05:00 PM	29.152
615	07/28/19 09:10:00 PM	29.152
616	07/28/19 09:15:00 PM	29.252
617	07/28/19 09:20:00 PM	29.352
618	07/28/19 09:25:00 PM	29.252
619	07/28/19 09:30:00 PM	29.252
620	07/28/19 09:35:00 PM	29.252
621	07/28/19 09:40:00 PM	29.352
622	07/28/19 09:45:00 PM	29.352
623	07/28/19 09:50:00 PM	29.352
624	07/28/19 09:55:00 PM	29.352
625	07/28/19 10:00:00 PM	29.252
626	07/28/19 10:05:00 PM	29.252
627	07/28/19 10:10:00 PM	29.352
628	07/28/19 10:15:00 PM	29.452
629	07/28/19 10:20:00 PM	29.452
630	07/28/19 10:25:00 PM	29.552
631	07/28/19 10:30:00 PM	29.552
632	07/28/19 10:35:00 PM	29.552
633	07/28/19 10:40:00 PM	29.452
634	07/28/19 10:45:00 PM	29.352
635	07/28/19 10:50:00 PM	29.452
636	07/28/19 10:55:00 PM	29.552
637	07/28/19 11:00:00 PM	29.452
638	07/28/19 11:05:00 PM	29.452
639	07/28/19 11:10:00 PM	29.452
640	07/28/19 11:15:00 PM	29.552
641	07/28/19 11:20:00 PM	29.552
642	07/28/19 11:25:00 PM	29.552
643	07/28/19 11:30:00 PM	29.652
644	07/28/19 11:35:00 PM	29.652
645	07/28/19 11:40:00 PM	29.652
646	07/28/19 11:45:00 PM	29.652
647	07/28/19 11:50:00 PM	29.652
648	07/28/19 11:55:00 PM	29.652
649	07/29/19 12:00:00 AM	29.552
650	07/29/19 12:05:00 AM	29.552
651	07/29/19 12:10:00 AM	29.552
652	07/29/19 12:15:00 AM	29.652
653	07/29/19 12:20:00 AM	29.752
654	07/29/19 12:25:00 AM	29.853
655	07/29/19 12:30:00 AM	29.853
